frameNumber,"TDEP, 0.1 in","CVEL, m/h","TENS, lbf","CS, m/h" 
2129,1144230.0,-708.8372192382812,4796.0,708.8372192382812
2130,1144220.0,-713.767333984375,4771.0,713.767333984375
2131,1144210.0,-713.4102783203125,4771.0,713.4102783203125
2132,1144200.0,-713.2320556640625,4733.0,713.2320556640625
2133,1144190.0,-708.8372192382812,4688.0,708.8372192382812
2134,1144180.0,-713.4102783203125,4688.0,713.4102783203125
2135,1144170.0,-713.4102783203125,4688.0,713.4102783203125
2136,1144160.0,-713.2320556640625,4626.0,713.2320556640625
2137,1144150.0,-713.4102783203125,4584.0,713.4102783203125
2138,1144140.0,-713.4102783203125,4584.0,713.4102783203125
2139,1144130.0,-713.2320556640625,4550.0,713.2320556640625
2140,1144120.0,-708.6600341796875,4515.0,708.6600341796875
2141,1144110.0,-708.8372192382812,4515.0,708.8372192382812
2142,1144100.0,-709.014404296875,4497.0,709.014404296875
2143,1144090.0,-713.2320556640625,4558.0,713.2320556640625
2144,1144080.0,-717.9834594726562,4558.0,717.9834594726562
2145,1144070.0,-713.5886840820312,4611.0,713.5886840820312
2146,1144060.0,-713.0538940429688,4607.0,713.0538940429688
2147,1144050.0,-709.0146484375,4607.0,709.0146484375
2148,1144040.0,-713.321044921875,4638.0,713.321044921875
2149,1144030.0,-708.3007202148438,4742.1904296875,708.3007202148438
2150,1144020.0,-700.0725708007812,4994.22265625,700.0725708007812
2151,1144010.0,-699.69091796875,4991.0,699.69091796875
2152,1144000.0,-704.0880737304688,4980.0,704.0880737304688
2153,1143990.0,-704.176025390625,4963.0,704.176025390625
2154,1143980.0,-704.0880737304688,4954.0,704.0880737304688
2155,1143970.0,-704.2640380859375,4938.0,704.2640380859375
2156,1143960.0,-704.2640380859375,4938.0,704.2640380859375
2157,1143950.0,-699.5160522460938,4919.0,699.5160522460938
2158,1143940.0,-699.5160522460938,4974.0,699.5160522460938
2159,1143930.0,-699.69091796875,4974.0,699.69091796875
2160,1143920.0,-704.0878295898438,5084.0,704.0878295898438
2161,1143910.0,-704.0880737304688,5118.0,704.0880737304688
2162,1143900.0,-704.2642211914062,5118.0,704.2642211914062
2163,1143890.0,-704.0880737304688,5080.0,704.0880737304688
2164,1143880.0,-704.0878295898438,5074.0,704.0878295898438
2165,1143870.0,-708.8372192382812,5074.0,708.8372192382812
2166,1143860.0,-708.6600341796875,5039.00048828125,708.6600341796875
2167,1143850.0,-708.6600341796875,4914.0,708.6600341796875
2168,1143840.0,-708.8372192382812,4914.0,708.8372192382812
2169,1143830.0,-708.6598510742188,4800.00048828125,708.6598510742188
2170,1143820.0,-713.2320556640625,4778.0,713.2320556640625
2171,1143810.0,-713.2320556640625,4778.0,713.2320556640625
2172,1143800.0,-713.4102783203125,4778.0,713.4102783203125
2173,1143790.0,-713.2320556640625,4775.0,713.2320556640625
2174,1143780.0,-708.6600341796875,4731.0,708.6600341796875
2175,1143770.0,-708.6600341796875,4731.0,708.6600341796875
2176,1143760.0,-708.8372192382812,4731.0,708.8372192382812
2177,1143750.0,-708.8372192382812,4731.0,708.8372192382812
2178,1143740.0,-704.0880737304688,4702.0,704.0880737304688
2179,1143730.0,-704.0880737304688,4702.0,704.0880737304688
2180,1143720.0,-708.6598510742188,4706.00048828125,708.6598510742188
2181,1143710.0,-708.6598510742188,4706.00048828125,708.6598510742188
2182,1143700.0,-708.8372192382812,4706.00048828125,708.8372192382812
2183,1143690.0,-708.8372192382812,4706.00048828125,708.8372192382812
2184,1143680.0,-708.8372192382812,4699.0,708.8372192382812
2185,1143670.0,-708.8372192382812,4699.0,708.8372192382812
2186,1143660.0,-708.6600341796875,4690.0,708.6600341796875
2187,1143650.0,-708.6600341796875,4690.0,708.6600341796875
2188,1143640.0,-708.6600341796875,4690.0,708.6600341796875
2189,1143630.0,-704.0878295898438,4690.0,704.0878295898438
2190,1143620.0,-704.0878295898438,4690.0,704.0878295898438
2191,1143610.0,-704.0880737304688,4681.0,704.0880737304688
2192,1143600.0,-704.0878295898438,4681.0,704.0878295898438
2193,1143590.0,-704.0880737304688,4734.0,704.0880737304688
2194,1143580.0,-704.0880737304688,4734.0,704.0880737304688
2195,1143570.0,-708.6600341796875,4788.0,708.6600341796875
2196,1143560.0,-708.6600341796875,4788.0,708.6600341796875
2197,1143550.0,-708.8372192382812,4747.0,708.8372192382812
2198,1143540.0,-708.659912109375,4619.0,708.659912109375
2199,1143530.0,-713.4105834960938,4546.0,713.4105834960938
2200,1143520.0,-713.2320556640625,4515.0,713.2320556640625
2201,1143510.0,-708.74853515625,4468.0,708.74853515625
2202,1143500.0,-704.0880737304688,4352.0,704.0880737304688
2203,1143490.0,-704.2640380859375,4382.0,704.2640380859375
2204,1143480.0,-704.0878295898438,4430.0,704.0878295898438
2205,1143470.0,-704.0880737304688,4430.0,704.0880737304688
2206,1143460.0,-704.2640380859375,4437.0,704.2640380859375
2207,1143450.0,-699.5160522460938,4449.0,699.5160522460938
2208,1143440.0,-701.8900146484375,4476.5,701.8900146484375
2209,1143430.0,-704.0879516601562,4528.0,704.0879516601562
2210,1143420.0,-699.1798706054688,4606.27294921875,699.1798706054688
2211,1143410.0,-696.1392211914062,4654.650390625,696.1392211914062
2212,1143400.0,-694.9248046875,4829.5,694.9248046875
2213,1143390.0,-691.8960571289062,4859.0,691.8960571289062
2214,1143380.0,-687.2669067382812,4876.33349609375,687.2669067382812
2215,1143370.0,-688.1717529296875,4928.0,688.1717529296875
2216,1143360.0,-687.3812255859375,4937.33349609375,687.3812255859375
2217,1143350.0,-687.9140625,4963.5,687.9140625
2218,1143340.0,-689.4452514648438,5044.25,689.4452514648438
2219,1143330.0,-687.3812255859375,4955.0,687.3812255859375
2220,1143320.0,-690.803955078125,4968.5,690.803955078125
2221,1143310.0,-685.8857421875,4893.0,685.8857421875
2222,1143300.0,-690.5446166992188,4860.0,690.5446166992188
2223,1143290.0,-694.9440307617188,4885.5,694.9440307617188
2224,1143280.0,-694.9440307617188,4911.0,694.9440307617188
2225,1143270.0,-690.5446166992188,4911.0,690.5446166992188
2226,1143260.0,-686.1431884765625,4884.0,686.1431884765625
2227,1143250.0,-685.9714965820312,4845.0,685.9714965820312
2228,1143240.0,-690.5446166992188,4845.0,690.5446166992188
2229,1143230.0,-695.1177368164062,4884.0,695.1177368164062
2230,1143220.0,-695.1177368164062,4938.0,695.1177368164062
2231,1143210.0,-695.1177368164062,4938.0,695.1177368164062
2232,1143200.0,-695.1177368164062,4938.0,695.1177368164062
2233,1143190.0,-694.94384765625,4940.0,694.94384765625
2234,1143180.0,-695.291748046875,4948.0,695.291748046875
2235,1143170.0,-695.1178588867188,4963.5,695.1178588867188
2236,1143160.0,-699.69091796875,5008.0,699.69091796875
2237,1143150.0,-699.69091796875,5008.0,699.69091796875
2238,1143140.0,-699.5160522460938,4988.0,699.5160522460938
2239,1143130.0,-699.8660888671875,4892.0,699.8660888671875
2240,1143120.0,-695.2915649414062,4892.0,695.2915649414062
2241,1143110.0,-694.9440307617188,4723.0,694.9440307617188
2242,1143100.0,-699.5160522460938,4670.0,699.5160522460938
2243,1143090.0,-704.4401245117188,4670.0,704.4401245117188
2244,1143080.0,-699.69091796875,4665.00048828125,699.69091796875
2245,1143070.0,-699.69091796875,4619.0,699.69091796875
2246,1143060.0,-699.5160522460938,4619.0,699.5160522460938
2247,1143050.0,-704.2640380859375,4562.0,704.2640380859375
2248,1143040.0,-704.2640380859375,4562.0,704.2640380859375
2249,1143030.0,-699.5158081054688,4610.00048828125,699.5158081054688
2250,1143020.0,-699.5160522460938,4699.0,699.5160522460938
2251,1143010.0,-699.5160522460938,4699.0,699.5160522460938
2252,1143000.0,-699.69091796875,4699.0,699.69091796875
2253,1142990.0,-699.69091796875,4699.0,699.69091796875
2254,1142980.0,-699.5160522460938,4728.0,699.5160522460938
2255,1142970.0,-699.5160522460938,4736.0,699.5160522460938
2256,1142960.0,-694.94384765625,4736.0,694.94384765625
2257,1142950.0,-694.94384765625,4736.0,694.94384765625
2258,1142940.0,-694.9440307617188,4780.0,694.9440307617188
2259,1142930.0,-694.94384765625,4822.0,694.94384765625
2260,1142920.0,-699.5160522460938,4819.0,699.5160522460938
2261,1142910.0,-697.2300415039062,4790.0,697.2300415039062
2262,1142900.0,-703.173583984375,4684.0,703.173583984375
2263,1142890.0,-701.0986938476562,4449.66650390625,701.0986938476562
2264,1142880.0,-699.6033935546875,4431.5,699.6033935546875
